team_id,team_name,arena_name,bleachers_capacity,bleachers_price,lower_tier_capacity,lower_tier_price,courtside_capacity,courtside_price,luxury_capacity,luxury_price,total_capacity,avg_est_revenue_per_game,avg_fill_pct
24340,Santa Eufemia Ducks,Alberto Mario Mestre,16450,17,5000,47,500,200,50,1100,22000,523302,88
25843,Sant Mateu,Oscar Colmenares Center,19920,14,3730,49,500,159,50,869,24200,301135,54
26708,Afk Ballers,Afk Arena,16000,20,5000,45,500,191,50,945,21550,586641,87
29895,Silverbacks,The Jungle,14000,18,5450,40,500,180,50,880,20000,548422,92
31494,Splash Gang,Splash Gang Arena,14000,20,4000,48,500,180,50,875,18550,530004,89
32618,Velotrol Metalizado,Berimbau Motorizado,17500,20,5000,51,500,190,50,945,23050,572143,80
35146,Munich Pandas,Panda Garden,16000,20,5450,42,500,185,50,880,22000,546050,79
38314,Woodbridge Wreckers,Oudendijk,13000,18,7000,31,500,173,50,860,20550,467106,76
38316,South Dragons,De Volle Bak,12500,19,8700,35,500,180,50,885,21750,595866,89
38921,Generation of Miracles,Awesometown,16351,19,4600,48,500,185,50,950,21501,522886,81
39417,Sokovichok,Elbor Arena,17420,18,3550,55,500,190,30,1400,21500,493528,80
41130,Blok M Walkers,Top Gun Arena,25935,20,3515,60,500,195,50,950,30000,547835,59
43065,Cobras Kraitt,Kraitt Center,18000,20,2600,68,500,194,30,1550,21130,520496,79
43824,taroudant flyers,bateas,17000,17,6000,39,500,181,50,885,23550,570549,84
44271,Zaporozhye Cossacks,FT arena,19000,16,3500,48,500,180,50,1000,23050,527428,83
44344,Dnipro Heat,Dnipro Arena,19192,16,2500,61,500,183,30,1234,22222,504867,86
45083,Rila,Rilska arena,15000,20,5000,45,500,185,50,900,20550,590293,91
47185,Centri Ingrassanti Succhino,Paladodici,16500,17,5000,45,500,195,50,1000,22050,521445,85
49255,Morena Basket,Fam United Center,15500,18,4460,44,500,183,40,1000,20500,515113,85
49500,Czech Young Boys,Young Boys Arena,17000,19,4000,55,500,200,50,1000,21550,412804,58
50293,BC Kõvapallurid,Tallinna Tsirkus,17000,20,6000,45,500,186,50,900,23550,577394,76
51445,RGUNS,RPlace,20000,15,8000,32,500,200,50,1100,28550,491529,69
54375,Laguna Buko Mixers,Laguna Cocoliseum,20000,16,7000,40,500,180,50,930,27550,572758,76
55022,PLC 7,Philippine Arena,18750,20,5200,46,500,180,50,950,24500,475221,60
55528,Lame Ducks,Sala Gimnastyczna,18000,15,4000,44,500,180,50,900,22550,450143,76
56709,Venomous Scorpions,Scorpions Hell,30000,20,10000,50,500,190,50,950,40550,603314,48
57147,Jibou NRG,Powerhouse,20000,20,7500,38,500,180,50,900,28050,609802,69
58436,Nitra Corgons,Beer Arena,20000,17,4500,47,500,194,30,1450,25030,573314,83
69656,Djstra,Arrows,16000,20,4000,49,500,185,20,1600,20520,535338,84
73883,kiku,kiku,16400,17,3300,52,500,185,30,1350,20230,481508,85
75517,Los Palomos,El palomar de Lo Paco,17500,18,4000,60,500,180,40,1300,22040,513076,82
77944,C.B. Paralímpicos,Cervantes Arena,17250,20,4200,62,500,200,50,1100,22000,563313,83
87675,Devil May Care,Batman Church,17000,20,5000,46,500,195,50,970,22550,559297,81
88784,Ktiniatroi B.C II,Ktiniatreio,15000,16,5000,41,500,190,50,950,20550,429246,73
89250,Aetos Anogeion B.C.,O2 World Arena,15000,18,6000,40,500,200,50,1200,21550,515377,82
90319,Aubel Nation,Sclessin,17187,20,3308,59,500,199,37,1075,21032,544830,84
91033,Isca Centurions,The Caldarium,15000,20,5000,44,500,180,50,850,20550,572650,89
