team_id,team_name,league,arena_name,bleachers_capacity,bleachers_price,lower_tier_capacity,lower_tier_price,courtside_capacity,courtside_price,luxury_capacity,luxury_price,total_capacity,avg_est_revenue_per_game,avg_fill_pct,W,L,PF,PA,win_pct,point_diff
67367,Okinawa B.C.,Liga Nacional,Emma Arena,17600,18,4000,54,500,179,35,1300,22135,525711,81,7,3,940,926,0.700,14
65801,FriburgoTeam,Liga Nacional,Frizão,18000,18,4000,50,500,200,40,1500,22540,424546,62,6,4,1116,1066,0.600,50
68537,Rio de Janeiro Basq,Liga Nacional,Arena Carioca,20000,14,3500,53,500,160,50,850,24050,413490,72,5,5,1115,1119,0.500,-4
24562,Diamantino city,Liga Nacional,Diamantinão,17000,15,2500,50,300,200,15,1500,19815,449353,98,5,5,995,1002,0.500,-7
24711,Bauru Basket,Liga Nacional,Panela de Pressão,16000,17,5000,43,500,165,50,618,21550,576787,94,4,6,943,919,0.400,24
65515,Los Cachaça,Liga Nacional,Inferno,18000,20,3500,48,500,175,50,800,22050,556892,81,4,6,896,985,0.400,-89
65129,Buffalo Braves,Liga Nacional,South Park Arena,14850,18,6600,36,500,171,50,880,22000,494208,80,3,7,982,961,0.300,21
32363,The Governance of Ace,Liga Nacional,Little Purple Book,15600,14,4100,50,500,180,40,1100,20240,434662,87,1,9,832,1107,0.100,-275
32618,Velotrol Metalizado,Liga Nacional,Berimbau Motorizado,17500,20,5000,51,500,190,50,945,23050,572143,80,10,0,997,698,1.000,299
24511,Aurux Wolf,Liga Nacional,WolfPack,20000,18,4000,49,500,182,50,920,24550,519121,72,8,2,1098,904,0.800,194
32422,BC Astra,Liga Nacional,Astra,17000,18,1800,63,400,172,30,1120,19230,492003,95,7,3,1052,883,0.700,169
65226,Havana Jazz,Liga Nacional,Buena Vista Ginasio,18738,14,4000,47,500,178,50,1100,23288,508269,88,6,4,1017,1011,0.600,6
32431,Olaria Blue Chiefs,Liga Nacional,Chiefs Arena,16000,16,3000,52,400,155,30,1140,19430,431145,83,5,5,963,1015,0.500,-52
65114,Sindicato S.A.,Liga Nacional,Peleguinho,11909,18,10000,30,500,180,50,900,22459,387715,56,3,7,920,999,0.300,-79
33008,Boston White Tigers,Liga Nacional,Boston Garden,15750,8,3715,28,500,110,35,715,20000,306122,98,3,7,1123,1226,0.300,-103
32351,Clube do remo,Liga Nacional,Baenão,17600,15,4000,45,500,175,35,1150,22135,451984,78,3,7,908,1076,0.300,-168
33122,Serrano F. C.,II.1,Cova do Leão,16060,10,3500,32,400,121,40,578,20000,327541,96,8,2,1045,879,0.800,166
33037,Paulista Predators,II.1,Jungle Center,16000,11,5000,28,500,120,50,600,21550,339307,88,7,3,820,774,0.700,46
32167,Resistência AYA,II.1,kings basketball,12666,10,5897,24,500,131,50,526,19113,318192,93,6,4,973,927,0.600,46
24573,Black_Stars,II.1,Sky Arena,18000,10,3000,35,500,110,50,526,21550,344423,93,6,4,1051,1013,0.600,38
65555,FlaBulls,II.1,FlaBulls Arena,18000,14,2000,45,200,200,15,1280,20215,344631,84,5,5,1001,921,0.500,80
65847,Annihilator,II.1,Alison Hell,12000,13,2300,44,230,125,25,1040,14555,255559,85,5,5,1041,972,0.500,69
67978,Krasnaya armiya,II.1,Ginásio Pavlov,14150,11,1525,48,425,135,13,1225,16113,253395,82,2,8,928,992,0.200,-64
68701,Flamengo Bears,II.1,Soldier Field,16000,8,2500,34,250,175,15,1250,18765,264159,96,1,9,741,1162,0.100,-421
24677,El Més Temut,II.1,La Casa,16720,10,3400,35,460,140,20,800,20600,317284,94,9,1,1027,863,0.900,164
67169,Hercules Sao Fernando,II.1,Parque Colosso de Goiabeiras,18000,10,4450,26,500,116,50,560,23000,346176,88,6,4,1112,977,0.600,135
65211,Rio Branco,II.1,Pio IX,17500,10,2800,50,500,180,32,1100,20832,291758,85,6,4,960,917,0.600,43
33053,Franca Celtics,II.1,Pedrocão Garden,8500,18,2000,45,300,149,20,825,10820,285507,96,5,5,946,893,0.500,53
65631,Patrocínio Paulista,II.1,Diamantão,14000,13,1570,49,200,190,16,1100,15786,313060,100,5,5,908,962,0.500,-54
65411,Porto Alegre Ursos,II.1,Toca do Urso,13000,11,3350,33,500,119,50,611,16900,342684,100,4,6,929,991,0.400,-62
32268,Pegasus SC,II.1,Air Arena,22000,5,10000,18,500,110,50,540,32550,300932,69,3,7,905,972,0.300,-67
24499,Raizes,II.1,Niteroi,15000,13,3000,30,500,90,50,430,18550,339683,95,2,8,906,1078,0.200,-172
33126,Unitri Uberlândia,II.2,UTC,14000,15,5000,40,300,190,30,1280,19330,351421,78,8,2,1170,945,0.800,225
32259,Synbios Force,II.2,Aspinia Arena,16000,13,5000,35,500,125,50,800,21550,366223,86,6,4,1013,930,0.600,83
66125,Colorado Red Jaguars,II.2,SM Arena,9150,14,1400,49,300,148,15,1140,10865,254790,98,6,4,1158,1087,0.600,71
67286,FERDY BASKET BH,II.2,GYM FERDY ARENA,15200,12,4274,30,500,120,26,800,20000,348976,95,5,5,1036,915,0.500,121
67536,Red Devils Legacy,II.2,New Oldtrafford,16600,10,3400,35,500,120,40,800,20540,329618,93,5,5,1097,985,0.500,112
65652,Atletico Lx,II.2,Atletico Lx Arena,5888,18,675,68,124,187,18,1110,6705,179611,97,4,6,1113,1075,0.400,38
68496,OS NBA BC,II.2,NBA STADIUM,5438,10,500,35,60,100,2,800,6000,79480,100,1,9,1011,1201,0.100,-190
33097,Chollima,II.2,PY,5438,19,500,41,60,173,2,801,6000,135804,100,0,10,505,1409,0.000,-904
