Name,Player ID,Position,Age,Rookie,Height (cm),Potential,Potential %,Game Shape,Jump Shot,Jump Range,Outside Def,Handling,Driving,Passing,Inside Shot,Inside Def,Rebounding,Shot Blocking,Stamina,Free Throw,Experience,Skill Points Total,Skill Points Off,Skill Points Def,Eval PG,Eval SG,Eval SF,Eval PF,Eval C,Weekly Salary,Salary Secondary,Starting Price,Owner Team,Source League,Pulled Date
Lun Gung Ho,50877808,SF,34,No,190,hall of famer,100,9,22,14,22,20,21,11,21,16,6,5,7,34,21,158,110,48,15.66,16.38,15.61,15.47,15.23,292226,274029,2000000,Make Zuzi great again,III.15,2026-09-11
Haike van der Spek,52090986,PG,30,No,185,hall of famer,100,6,20,16,21,21,21,14,16,9,6,9,9,17,16,153,113,40,16.37,16.7,14.43,12.85,11.89,269344,258157,2900000,Kinky Koalas,III.15,2026-09-11
Fabio Ficcadenti,51342783,SF,32,No,183,hall of famer,,,21,10,22,21,21,10,21,16,9,9,5,17,16,160,105,55,,,,,,245463,,1990000,china-dragon,III.15,2026-09-11
Tomer Rosenstein,51399186,SG,32,No,183,hall of famer,,7,19,15,23,21,21,12,9,10,8,8,8,23,17,146,111,35,,,,,,241693,,580000,Albatros coscorron,III.15,2026-09-11
Juozas Bockauskas,51099979,SG,33,No,185,hall of famer,100,7,20,14,21,20,20,11,16,12,8,7,5,22,15,149,106,43,15.44,15.93,14.45,13.57,13.01,240525,198757,350000,star4ever,III.15,2026-09-11
Armonas Teteriukovas,52481673,SG,29,No,183,hall of famer,,8,22,14,22,22,21,9,14,8,5,2,5,14,9,139,110,29,,,,,,233528,,750000,Les Lents Béarnais,III.15,2026-09-11
Timos Doukas,51695631,PF,31,No,218,hall of famer,100,,13,6,9,16,18,11,18,18,17,10,4,5,14,136,73,63,,,,,,231720,229048,1000000,Russia♥,III.15,2026-09-11
Mirosław Krzysciak,52173509,SF,30,No,196,hall of famer,100,9,23,14,15,22,23,9,18,11,9,8,7,7,14,152,106,46,14.07,14.45,13.97,13.92,13.6,229623,207442,1250000,Piaski Yellow Hornets,III.15,2026-09-11
Xi Ming chu,53190763,SF,27,No,193,hall of famer,100,8,23,11,17,18,19,7,22,11,10,7,6,15,9,145,95,50,13.28,14.1,14.18,14.6,14.55,222069,201367,2000000,Katacc,III.15,2026-09-11
Mitar Nikolić,53509265,PF,26,No,206,hall of famer,100,8,21,11,9,18,21,5,21,17,11,8,5,16,8,142,85,57,10.78,11.25,13.36,15.45,16.17,214838,255959,2200000,KK Alkoholicari,III.15,2026-09-11
Marcelinho Dracena,50652944,SF,34,No,188,hall of famer,,9,18,14,22,17,18,13,17,17,8,7,5,26,19,151,102,49,,,,,,213851,,,Bromley-By-Bow,III.15,2026-09-11
Heinrihs Olavs,51469296,PG,32,No,198,hall of famer,,,16,13,18,19,20,15,15,14,12,9,9,27,15,151,101,50,,,,,,211867,,1555000,"BK "" BAUSKA""",III.15,2026-09-11
Germano Greco,53076042,SF,27,No,196,hall of famer,100,8,22,12,19,20,20,6,22,12,8,8,3,7,8,149,99,50,13.64,14.5,14.28,14.68,14.57,204823,187751,2200000,CSKA Shohoku,III.15,2026-09-11
Dalam Effendi,50824950,SG,35,No,188,hall of famer,100,8,20,14,20,19,20,13,13,8,9,9,7,28,20,145,106,39,15.66,15.99,13.8,12.08,11.15,204507,187861,1,"BK "" BAUSKA""",III.15,2026-09-11
Salvo Buttafuoco,53070518,SF,27,No,183,hall of famer,100,9,21,13,19,22,22,8,22,10,8,6,2,20,10,151,105,46,14.47,15.03,14.43,14.49,14.18,203556,156793,2750000,Slam Drunk Celtics,III.15,2026-09-11
Vuk Pavlov,51442959,PG,32,No,183,all-time great,,8,19,16,17,18,18,18,8,5,4,5,8,12,14,128,106,22,,,,,,203389,,580000,Los Marañones,III.15,2026-09-11
Galo Chandebrito,51322825,PF,32,No,211,hall of famer,,,16,10,13,17,18,14,16,18,15,9,7,19,15,146,88,58,,,,,,202408,,1200000,Generation of Miracles,III.15,2026-09-11
Gal Nayan,51298709,SF,33,No,185,hall of famer,100,,22,12,20,20,20,12,20,13,6,5,7,20,13,150,106,44,,,,,,202360,180351,1900000,由治及興,III.15,2026-09-11
Hu Sei Tee,52912149,SF,28,No,198,hall of famer,,,20,12,18,19,19,7,19,13,10,7,5,10,11,144,95,49,,,,,,192376,,1450000,North Caloocan Bullies,III.15,2026-09-11
Rolof Pelletier,51335901,PG,32,No,190,hall of famer,,7,19,14,21,20,21,13,20,16,4,4,1,25,16,152,108,44,,,,,,191217,,1900000,Batsi,III.15,2026-09-11
Bogdan Budzich,52883491,PG,28,No,190,hall of famer,,,19,10,21,21,22,13,16,12,5,6,8,16,10,145,106,39,,,,,,190123,,1500000,Tanzigan pojat,III.15,2026-09-11
András Jusztin,53539890,SF,26,No,188,hall of famer,,6,22,14,18,18,18,12,18,11,8,6,4,24,8,145,102,43,,,,,,188700,,,AndrashidaKK,III.15,2026-09-11
Blažiejus Bulys,53142583,SF,27,No,198,hall of famer,,8,19,11,20,18,18,12,20,16,9,9,3,8,10,152,98,54,,,,,,183107,,2490000,Klacid Nets,III.15,2026-09-11
Rodion Kichigin,53253047,C,28,No,203,hall of famer,100,8,10,9,20,11,13,9,9,22,15,21,4,20,11,139,72,67,13.16,13.62,14.15,14.44,14.79,180900,165339,4000000,EA 7,III.15,2026-09-11
Björn Håkansson,53254603,SG,27,No,198,hall of famer,100,9,20,13,21,20,21,6,21,11,7,9,5,14,8,149,101,48,14.01,14.87,14.08,14.11,13.83,180085,163758,2750000,whisper,III.15,2026-09-11
Hilário Chaves,51610981,SF,31,No,201,hall of famer,,,18,12,19,17,17,12,17,17,9,9,6,23,12,147,95,52,,,,,,177428,,1700000,Radiobasket,III.15,2026-09-11
Sentis Dzelzitis,52156214,C,30,No,208,MVP,,,9,4,5,5,7,5,16,17,17,13,7,11,14,98,35,63,,,,,,176382,,1000000,BC DARK KNIGHTS,III.15,2026-09-11
Wessel Lebbe,51390676,PG,33,No,185,hall of famer,,8,19,14,19,19,19,15,12,8,5,7,4,25,11,137,105,32,,,,,,176028,,750000,Kk Astibo 2022,III.15,2026-09-11
Ceyhun Güçal,50997603,SF,34,No,196,hall of famer,,,23,13,19,18,20,9,19,10,5,3,6,19,17,139,102,37,,,,,,172383,,1723830,"""CAPO D' IRLANDA""",III.15,2026-09-11
