season,start,finish
1,2007-04-02T03:23:29Z,2007-07-18T03:49:59Z
2,2007-07-18T03:49:59Z,2007-10-22T20:57:39Z
3,2007-10-22T20:57:39Z,2008-01-29T13:26:18Z
4,2008-01-29T13:26:18Z,2008-05-06T01:27:45Z
5,2008-05-06T01:27:45Z,2008-08-11T19:38:54Z
6,2008-08-11T19:38:54Z,2008-11-17T19:25:15Z
7,2008-11-17T19:25:15Z,2009-02-23T20:02:57Z
8,2009-02-23T20:02:57Z,2009-06-01T18:37:59Z
9,2009-06-01T18:37:59Z,2009-09-07T20:11:42Z
10,2009-09-07T20:11:42Z,2009-12-14T21:57:52Z
11,2009-12-14T21:57:52Z,2010-03-22T18:54:59Z
12,2010-03-22T18:54:59Z,2010-06-28T18:08:09Z
13,2010-06-28T18:08:09Z,2010-10-06T03:43:03Z
14,2010-10-06T03:43:03Z,2011-01-11T02:16:35Z
15,2011-01-11T02:16:35Z,2011-04-18T21:14:33Z
16,2011-04-18T21:14:33Z,2011-07-25T12:51:24Z
17,2011-07-25T12:51:24Z,2011-10-31T11:03:31Z
18,2011-10-31T11:03:31Z,2012-02-06T20:09:52Z
19,2012-02-06T20:09:52Z,2012-05-14T14:15:43Z
20,2012-05-14T14:15:43Z,2012-08-20T21:19:48Z
21,2012-08-20T21:19:48Z,2012-11-27T02:51:21Z
22,2012-11-27T02:51:21Z,2013-03-04T17:42:13Z
23,2013-03-04T17:42:13Z,2013-06-10T18:27:13Z
24,2013-06-10T18:27:13Z,2013-09-16T20:56:35Z
25,2013-09-16T20:56:35Z,2013-12-24T01:18:51Z
26,2013-12-24T01:18:51Z,2014-03-31T20:37:12Z
27,2014-03-31T20:37:12Z,2014-07-08T09:51:08Z
28,2014-07-08T09:51:08Z,2014-10-14T09:09:17Z
29,2014-10-14T09:09:17Z,2015-01-20T11:20:22Z
30,2015-01-20T11:20:22Z,2015-04-27T21:09:26Z
31,2015-04-27T21:09:26Z,2015-08-03T20:38:18Z
32,2015-08-03T20:38:18Z,2015-11-09T18:20:37Z
33,2015-11-09T18:20:37Z,2016-02-15T15:02:36Z
34,2016-02-15T15:02:36Z,2016-05-23T18:02:18Z
35,2016-05-23T18:02:18Z,2016-08-29T21:32:21Z
36,2016-08-29T21:32:21Z,2016-12-05T21:34:04Z
37,2016-12-05T21:34:04Z,2017-03-14T03:06:53Z
38,2017-03-14T03:06:53Z,2017-06-19T19:33:32Z
39,2017-06-19T19:33:32Z,2017-09-26T08:42:16Z
40,2017-09-26T08:42:16Z,2018-01-02T13:09:19Z
41,2018-01-02T13:09:19Z,2018-04-10T09:37:04Z
42,2018-04-10T09:37:04Z,2018-07-17T07:59:11Z
43,2018-07-17T07:59:12Z,2018-10-22T21:25:58Z
44,2018-10-22T21:25:58Z,2019-01-28T23:27:43Z
45,2019-01-28T23:27:43Z,2019-05-06T23:28:39Z
46,2019-05-06T23:28:39Z,2019-08-12T20:44:04Z
47,2019-08-12T20:44:04Z,2019-11-18T16:03:50Z
48,2019-11-18T16:03:50Z,2020-02-24T23:36:36Z
49,2020-02-24T23:36:36Z,2020-06-02T17:36:17Z
50,2020-06-02T17:36:17Z,2020-09-07T21:43:36Z
51,2020-09-07T21:43:36Z,2020-12-15T07:27:18Z
52,2020-12-15T07:27:18Z,2021-03-22T16:38:00Z
53,2021-03-22T16:38:00Z,2021-06-28T14:48:11Z
54,2021-06-28T14:48:11Z,2021-10-04T18:58:49Z
55,2021-10-04T18:58:49Z,2022-01-10T17:20:45Z
56,2022-01-10T17:20:45Z,2022-04-18T12:08:45Z
57,2022-04-18T12:08:45Z,2022-07-25T20:34:56Z
58,2022-07-25T20:34:56Z,2022-10-31T23:32:22Z
59,2022-10-31T23:32:22Z,2023-02-06T17:06:53Z
60,2023-02-06T17:06:53Z,2023-05-15T23:32:27Z
61,2023-05-15T23:32:27Z,2023-08-21T23:17:42Z
62,2023-08-21T23:17:42Z,2023-11-28T11:35:05Z
63,2023-11-28T11:35:05Z,2024-03-05T10:05:53Z
64,2024-03-05T10:05:53Z,2024-06-11T15:00:49Z
65,2024-06-11T15:00:49Z,2024-09-17T06:34:00Z
66,2024-09-17T06:34:00Z,2024-12-24T22:45:33Z
67,2024-12-24T22:45:33Z,2025-04-01T06:57:40Z
68,2025-04-01T06:57:40Z,2025-07-08T06:20:54Z
69,2025-07-08T06:20:54Z,2025-10-14T10:05:35Z
70,2025-10-14T10:05:35Z,2026-01-20T14:23:23Z
71,2026-01-20T14:23:23Z,2026-04-29T12:44:39Z
72,2026-04-29T12:44:39Z,2026-08-04T09:23:13Z
73,2026-08-04T09:23:13Z,
