#,Player,Player ID,Nationality,Age when bought,Age estimated?,Potential,Position,Height (cm),Draft pick (of 48),Bought from drafting team?,Bought on,Buy price ($),Sold on,Sale price ($),Profit ($),Sale ÷ buy,Days held,Salary in season bought ($/wk),Salary in season sold ($/wk),Buy ÷ salary,Sale ÷ salary,Salary at 22 ($/wk),Salary at 24 ($/wk),Salary at 26 ($/wk),Highest salary ($/wk),Last season with salary
1,Ignacio Saracina,41691320,España,18,Yes (from draft season),superstar,PG,188,41,No,2017-03-17,15000,2017-05-16,98000,83000,6.5,60,3632,3632,4.1,27.0,,,,3934,40
2,Rauls Bersons,42106233,Latvija,18,Yes (from draft season),superstar,PG,190,26,No,2017-03-17,1000,2017-05-05,121000,120000,121.0,49,3705,3705,0.3,32.7,,,,3705,38
3,Przemysław Kosterski,41385714,Polska,19,Yes (from draft season),MVP,PF,196,4,No,2017-03-17,4000,2017-05-01,175000,171000,43.8,45,3314,3314,1.2,52.8,5644,7023,8604,8630,46
4,Nikanor Liamaeu,42281787,Belarus,18,Yes (from draft season),superstar,PG,196,26,Yes,2017-03-17,10000,2017-04-22,190800,180800,19.1,36,4136,4136,2.4,46.1,9798,10207,,10312,45
5,Yiannis Mpaxevanakis,41862455,Hellas,18,Yes (from draft season),MVP,PG,203,14,Yes,2017-03-17,34400,2017-04-18,372000,337600,10.8,32,2088,2088,16.5,178.2,6393,6912,7090,7090,46
6,Wenceslao Ortega,41704433,España,18,Yes (from draft season),hall of famer,PG,190,48,No,2017-03-18,4000,2017-04-23,272000,268000,68.0,36,2283,2283,1.8,119.1,2463,2513,2501,2513,66
7,Austin Chamberlain,42352280,USA,18,Yes (from draft season),MVP,C,193,38,No,2017-06-22,10000,2017-07-22,277500,267500,27.8,30,3218,3218,3.1,86.2,,,,3218,40
8,Matthieu Meyer,42604416,France,18,Yes (from draft season),MVP,PG,201,42,Yes,2017-06-22,10000,2017-07-22,198000,188000,19.8,30,3131,3131,3.2,63.2,,,,3131,39
9,Thomas Berra,42601397,France,18,Yes (from draft season),hall of famer,PG,201,47,Yes,2017-06-22,14000,2017-08-07,198000,184000,14.1,46,2432,2432,5.8,81.4,,,,2432,41
10,Linas Treinius,42725108,Lietuva,18,Yes (from draft season),hall of famer,PG,190,5,Yes,2017-06-22,2000,2017-08-05,187000,185000,93.5,44,3201,3201,0.6,58.4,3557,3557,3538,3557,53
11,Miroslav Vončina,43007337,Slovenija,18,Yes (from draft season),MVP,PF,203,16,No,2017-06-22,1000,2017-07-19,175000,174000,175.0,27,3627,3627,0.3,48.2,7084,8141,9212,10145,54
12,Manuel Prada,42443844,España,18,Yes (from draft season),hall of famer,PG,201,3,Yes,2017-06-22,52100,2017-07-20,375000,322900,7.2,28,2924,2924,17.8,128.2,,,,3117,42
13,Sarolf Reinhardtshain,42943544,Polska,18,Yes (from draft season),MVP,SF,185,5,Yes,2017-06-24,8000,2017-08-15,173400,165400,21.7,52,3446,3446,2.3,50.3,3232,3232,3215,3446,66
14,Jurgis Fedorecas,43517742,Lietuva,18,Yes (from draft season),hall of famer,SG,188,16,Yes,2017-09-29,50000,2017-10-23,400000,350000,8.0,24,3156,3156,15.8,126.7,,,,3156,40
15,Kevin Price,43143179,USA,18,Yes (from draft season),MVP,SF,203,43,No,2017-09-29,3000,2017-10-24,272000,269000,90.7,25,2931,2931,1.0,92.8,,,,2931,42
16,Brett Barnes,43866699,Utopia,18,Yes (from draft season),superstar,SF,188,9,No,2017-09-29,17000,2017-11-15,165000,148000,9.7,47,2819,2819,6.0,58.5,5717,7690,,7690,46
17,Kosmas Valsamakis,43437279,Hellas,18,Yes (from draft season),hall of famer,PF,193,14,Yes,2017-09-29,2000,2017-10-20,198000,196000,99.0,21,3439,3439,0.6,57.6,9598,11843,12792,14306,59
18,Ivan Morales,43840973,Uruguay,18,Yes (from draft season),hall of famer,C,203,14,No,2017-10-01,50000,2017-10-21,390300,340300,7.8,20,3364,3364,14.9,116.0,7515,9357,11406,13940,51
19,Crispino Cruz Neto,43200221,Brasil,18,Yes (from draft season),MVP,C,188,27,No,2017-10-02,5000,2017-12-04,137800,132800,27.6,63,2783,2783,1.8,49.5,,,,2783,41
20,Kostakis Vrontakis,43437820,Hellas,18,Yes (from draft season),hall of famer,SF,190,30,Yes,2017-10-02,12000,2017-12-11,165000,153000,13.8,70,2817,2817,4.3,58.6,3137,3260,,3260,46
21,Henryk Szwajka,43733059,Polska,18,Yes (from draft season),hall of famer,PG,190,22,Yes,2017-10-02,33333,2017-11-27,195000,161667,5.9,56,2989,2989,11.2,65.2,4822,5888,5894,6141,54
22,Miquel Canal,44059881,España,18,Yes (from draft season),MVP,SF,193,31,No,2018-01-04,11000,2018-02-18,175000,164000,15.9,45,3551,3551,3.1,49.3,5295,5576,5993,6417,58
23,Paolo Alvisi,44147373,Italia,18,Yes (from draft season),hall of famer,SF,203,19,Yes,2018-01-05,22222,2018-02-16,187000,164778,8.4,42,2931,2931,7.6,63.8,,,,4444,44
24,Yiorgos Kokkinias,44229075,Hellas,18,Yes (from draft season),MVP,PG,193,25,Yes,2018-01-05,2000,2018-03-08,232000,230000,116.0,62,3459,3459,0.6,67.1,9837,32503,33473,35310,54
25,Pascual Vera,44633410,Uruguay,18,Yes (from draft season),hall of famer,PF,201,32,No,2018-01-05,33333,2018-02-14,257100,223767,7.7,40,3461,3461,9.6,74.3,5071,6337,6677,6951,56
26,Kostakis Aidonis,44226559,Hellas,18,Yes (from draft season),hall of famer,SF,201,4,Yes,2018-01-07,51000,2018-02-18,272000,221000,5.3,42,3818,3818,13.4,71.2,4132,4173,4206,4219,52
27,Giulio Bonvini,44150432,Italia,18,Yes (from draft season),hall of famer,SF,206,4,Yes,2018-01-08,6000,2018-02-05,198000,192000,33.0,28,3230,3230,1.9,61.3,3513,,,3559,46
28,Sigas Kaupinis,44309144,Lietuva,18,Yes (from draft season),hall of famer,PF,196,26,Yes,2018-01-09,40000,2018-02-14,295000,255000,7.4,36,2975,2975,13.4,99.2,16014,21163,21652,22159,56
29,Nicanor Peñafuerte,44058673,España,18,Yes (from draft season),hall of famer,C,203,6,No,2018-01-11,1000,2018-02-20,187000,186000,187.0,40,2668,2668,0.4,70.1,7838,,9463,13286,53
30,Werner Diersfart,44100991,Deutschland,18,Yes (from draft season),hall of famer,PF,196,32,No,2018-01-14,8000,2018-02-19,198000,190000,24.8,36,3190,3190,2.5,62.1,,,,3598,42
31,Dorjan Andreu,44946064,Italia,18,Yes (from draft season),hall of famer,SF,188,11,No,2018-04-13,13000,2018-05-11,206100,193100,15.9,28,3938,3938,3.3,52.3,7830,13585,13608,13620,54
32,Luca Sina,44946495,Italia,18,Yes (from draft season),MVP,SF,198,28,Yes,2018-04-14,7000,2018-05-25,198000,191000,28.3,41,3021,3021,2.3,65.5,,,,4388,45
